"Kod";"Nazwa";"ogółem;ogółem;2020;[zł]";
2470000;"Powiat m.Mysłowice";3992;
2471000;"Powiat m.Piekary Śląskie";3086;
2472000;"Powiat m.Ruda Śląska";3151;
2473000;"Powiat m.Rybnik";3664;
2474000;"Powiat m.Siemianowice Śląskie";3834;
2475000;"Powiat m.Sosnowiec";3677;
2476000;"Powiat m.Świętochłowice";3647;
2477000;"Powiat m.Tychy";5111;
2478000;"Powiat m.Zabrze";3335;
2479000;"Powiat m.Żory";3787;
2600000;"ŚWIĘTOKRZYSKIE";4709;
2601000;"Powiat buski";4050;
2602000;"Powiat jędrzejowski";3012;
2603000;"Powiat kazimierski";3026;
2604000;"Powiat kielecki";4052;
2605000;"Powiat konecki";3188;
2606000;"Powiat opatowski";2716;
2607000;"Powiat ostrowiecki";2994;
2608000;"Powiat pińczowski";2756;
2609000;"Powiat sandomierski";3841;
2610000;"Powiat skarżyski";3283;
2611000;"Powiat starachowicki";3860;
2612000;"Powiat staszowski";3184;
2613000;"Powiat włoszczowski";3066;
2661000;"Powiat m.Kielce";5246;
2800000;"WARMIŃSKO-MAZURSKIE";4242;
2801000;"Powiat bartoszycki";2344;
2802000;"Powiat braniewski";2550;
2803000;"Powiat działdowski";2943;
2804000;"Powiat elbląski";2648;
2805000;"Powiat ełcki";4143;
2806000;"Powiat giżycki";4768;
2807000;"Powiat iławski";3906;
2808000;"Powiat kętrzyński";2413;
2809000;"Powiat lidzbarski";2556;
2810000;"Powiat mrągowski";3967;
2811000;"Powiat nidzicki";2901;
2812000;"Powiat nowomiejski";2583;
2813000;"Powiat olecki";2818;
2814000;"Powiat olsztyński";4590;
2815000;"Powiat ostródzki";3788;
2816000;"Powiat piski";2710;
2817000;"Powiat szczycieński";3357;
2818000;"Powiat gołdapski";2623;
2819000;"Powiat węgorzewski";2625;
2861000;"Powiat m.Elbląg";4480;
2862000;"Powiat m.Olsztyn";5633;
3000000;"WIELKOPOLSKIE";4760;
3001000;"Powiat chodzieski";3154;
3002000;"Powiat czarnkowsko-trzcianecki";3106;
3003000;"Powiat gnieźnieński";3814;
3004000;"Powiat gostyński";2967;
3005000;"Powiat grodziski";3354;
3006000;"Powiat jarociński";3338;
3007000;"Powiat kaliski";3166;
3008000;"Powiat kępiński";3990;
3009000;"Powiat kolski";3380;
3010000;"Powiat koniński";2528;
3011000;"Powiat kościański";3575;
3012000;"Powiat krotoszyński";3421;
3013000;"Powiat leszczyński";3375;
3014000;"Powiat międzychodzki";2818;
3015000;"Powiat nowotomyski";3656;
3016000;"Powiat obornicki";3885;
3017000;"Powiat ostrowski";3618;
3018000;"Powiat ostrzeszowski";3564;
3019000;"Powiat pilski";4455;
3020000;"Powiat pleszewski";3466;
3021000;"Powiat poznański";4688;
3022000;"Powiat rawicki";3525;
3023000;"Powiat słupecki";3128;
3024000;"Powiat szamotulski";3619;
3025000;"Powiat średzki";3529;
3026000;"Powiat śremski";3807;
3027000;"Powiat turecki";3339;
3028000;"Powiat wągrowiecki";3317;
3029000;"Powiat wolsztyński";3775;
3030000;"Powiat wrzesiński";4017;
3031000;"Powiat złotowski";3221;
3061000;"Powiat m.Kalisz";3968;
3062000;"Powiat m.Konin";4051;
3063000;"Powiat m.Leszno";4061;
3064000;"Powiat m.Poznań";6832;
3200000;"ZACHODNIOPOMORSKIE";4777;
3201000;"Powiat białogardzki";2555;
3202000;"Powiat choszczeński";2710;
3203000;"Powiat drawski";2435;
3204000;"Powiat goleniowski";4107;
3205000;"Powiat gryficki";3497;
3206000;"Powiat gryfiński";3190;
3207000;"Powiat kamieński";9676;
3208000;"Powiat kołobrzeski";7319;
3209000;"Powiat koszaliński";5949;
3210000;"Powiat myśliborski";3067;
3211000;"Powiat policki";5288;
3212000;"Powiat pyrzycki";2804;
3213000;"Powiat sławieński";5501;
3214000;"Powiat stargardzki";4071;
3215000;"Powiat szczecinecki";3324;
3216000;"Powiat świdwiński";2276;
3217000;"Powiat wałecki";3472;
3218000;"Powiat łobeski";2772;
3262000;"Powiat m.Szczecin";5458;
3263000;"Powiat m.Świnoujście";8232;
